Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Review	Clinical Domain	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
36	NCT04217018	MR Based Prediction of Molecular Pathology in Glioma Using Artificial Intelligence		Recruiting	No Results Available	Glioma			Diagnostic Test: Prediction of molecular pathology	AUC of prediction performance	The First Affiliated Hospital of Zhengzhou University|Sun Yat-sen University	All	"1 Year to 95 Years   (Child, Adult, Older Adult)"		3000	Other	Observational	Observational Model: Cohort|Time Perspective: Other	GliomaAI-1	"January 1, 2017"	1-Jan-27	1-Jun-27	3-Jan-20		7-Jan-20	"Department of Neurosurgery, First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China"		https://ClinicalTrials.gov/show/NCT04217018
37	NCT04217044	Histopathology Images Based Prediction of Molecular Pathology in Glioma Using Artificial Intelligence		Recruiting	No Results Available	Glioma			Diagnostic Test: Histopathology images based prediction of molecular pathology	AUC of prediction performance	The First Affiliated Hospital of Zhengzhou University|Sun Yat-sen University	All	"1 Year to 95 Years   (Child, Adult, Older Adult)"		3000	Other	Observational	Observational Model: Cohort|Time Perspective: Other	GliomaAI-3	"January 1, 2017"	1-Jan-27	1-Jun-27	3-Jan-20		6-Jan-20	"Department of Neurosurgery, First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China"		https://ClinicalTrials.gov/show/NCT04217044
38	NCT04215224	Histopathology Images Based Survival Prediction of Glioma Patients Using Artificial Intelligence		Recruiting	No Results Available	Glioma			Diagnostic Test: Histopathology images based survival prediction for glioma patients	AUC of survival prediction performance	The First Affiliated Hospital of Zhengzhou University|Sun Yat-sen University	All	"1 Year to 90 Years   (Child, Adult, Older Adult)"		3500	Other	Observational	Observational Model: Cohort|Time Perspective: Other	GliomaAI-4	"January 1, 2017"	1-Jan-27	1-Jun-27	2-Jan-20		3-Jan-20	"Department of Neurosurgery, First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan, China"		https://ClinicalTrials.gov/show/NCT04215224
39	NCT03622281	Quality Improvement Intervention in Colonoscopy Using Artificial Intelligence		Completed	No Results Available	Quality Control|Artificial Intelligence|Colonoscopy			Other: quality improvement intervention using artificial intelligence	Adenoma detection rate	Shandong University	All	"18 Years to 80 Years   (Adult, Older Adult)"	Not Applicable	676	Other	Interventional	"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Health Services Research"	2018SDU-QILU-716	"October 20, 2018"	31-May-19	31-May-19	9-Aug-18		12-Feb-20	"Department of Gastroenterology, Qilu Hospital, Shandong University, Jinan, Shandong, China"		https://ClinicalTrials.gov/show/NCT03622281
40	NCT04232462	A Multicentric Validation Study on the Accuracy of Artificial Intelligence Assisted System in Clinical Application of Digestive Endoscopy		Not yet recruiting	No Results Available	Gastrointestinal Disease|Endoscopy|Artificial Intelligence			Diagnostic Test: Endoscopists refer to AI for diagnosis	Accuracy|Sensitivity|Specificity|Positive Predictive Value (PPV)|Negative Predictive Value (NPV)|Receiver Operating Characteristic (ROC) Curve|Area Under the Curve (AUC)|mean Average Precision (mAP)|Sørensen-Dice coefficient (F1 score)|Recall Rate|Positive Likelihood Ratio|Negative Likelihood Ratio	Renmin Hospital of Wuhan University	All	"18 Years and older   (Adult, Older Adult)"		10000	Other	Observational	Observational Model: Other|Time Perspective: Prospective	EA-19-006	"January 12, 2020"	1-May-20	1-Dec-23	18-Jan-20		18-Jan-20			https://ClinicalTrials.gov/show/NCT04232462
41	NCT02330679	Prediction of Antidepressant Treatment Response Using Machine Learning Classification Analysis		Unknown status	No Results Available	Major Depressive Disorder			Drug: Desvenlafaxine|Drug: Placebo	The resting state and emotional task related brain activity pattern at the pretreatment baseline and two weeks post treatment as measured by functional MRI and analyzed by machine learning techniques|The clinical response to antidepressant treatment as measured by Montgomery-Asberg Depression Rating (MADRS) scale.	University of Calgary|University of Alberta	All	20 Years to 55 Years   (Adult)	Phase 4	61	Other	Interventional	Intervention Model: Single Group Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	REB 14-0194	"December 1, 2014"	16-Dec	16-Dec	5-Jan-15		5-Jan-15	"University of Calgary, TRW Building, Foothills Hospital Campus, Calgary, Alberta, Canada|University of Calgary: Foothills Hospital, Calgary, Alberta, Canada"		https://ClinicalTrials.gov/show/NCT02330679
42	NCT02931500	Machine Learning for Identification of Future Disease Development: A Nationwide Cohort Study (MILESTONE)		Unknown status	No Results Available	Cardiovascular Disease|Metabolic Disease		Cardiovascular		Accuracy in prediction of development of cardiovascular and metabolic disease using machine learning algorithm|Accuracy in prediction of development of cardiovascular and metabolic disease using logistic regression analysis|Accuracy in prediction of development of cardiovascular and metabolic disease using Framingham risk score	Yonsei University	All	"18 Years and older   (Adult, Older Adult)"		510000	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	4-2016-0383	"July 1, 2016"	30-Oct-18	31-Dec-18	13-Oct-16		10-Jan-18	"Yonsei University Severance Hospital, Seoul, Korea, Republic of"		https://ClinicalTrials.gov/show/NCT02931500
43	NCT03969056	AI Activity Study in Patients With Elevated Blood Pressure		Not yet recruiting	No Results Available	Hypertension		Cardiovascular	"Behavioral: Artificial Intelligence (AI) Activity|Behavioral: 10,000 steps"	Changes in weekly daily average steps|Duration (minutes) of moderate to vigorous intensity physical activity (MVPA) per day|Changes in Systolic blood pressure (SBP)|Changes in diastolic blood pressure (DBP)|aortic stiffness|sodium intake|Changes in weight|Changes in Body Mass Index (BMI)	"University of California, San Francisco"	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	40	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	18-26452	"October 10, 2020"	21-Mar	30-Jun-21	31-May-19		11-Sep-19	"University of California San Francisco, San Francisco, California, United States"		https://ClinicalTrials.gov/show/NCT03969056
44	NCT00330109	Identification of Clinically Occult Glioma Cells and Characterization of Glioma Behavior Through Machine Learning Analysis of Advanced Imaging Technology		Unknown status	No Results Available	Glioma			Procedure: MRS Imaging|Procedure: PET Scanning|Procedure: Diffusion Tensor Imaging	"image glioma patients with advanced imaging techniques to help us better characterize gliomas in the future|create an image-based database to allow machine learning analysis of all the clinically available data|through machine learning analysis, develop computer algorithms to allow us to automate tumour segmentation, predict tumour behaviour and predict location of clinically occult glioma cells"	AHS Cancer Control Alberta	All	"18 Years and older   (Adult, Older Adult)"	Not Applicable	113	Other	Interventional	Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	CNS-9-0032 / 22151-22523	"June 1, 2006"	17-Dec	17-Dec	25-May-06		16-Jan-17	"Cross Cancer Institute, Edmonton, Alberta, Canada"		https://ClinicalTrials.gov/show/NCT00330109
45	NCT03787784	Automatic Classification of Colorectal Polyps Using Probe-based Endomicroscopy With Artificial Intelligence		Recruiting	No Results Available	Probe-based Confocal Laser Endomicroscopy|Artificial Intelligence|Colorectal Polyps			Other: AI presentation	The accuracy of classifying colorectal Polyps using Probe-based endomicroscopy with deep neural networks|Contrast the diagnosis efficiency of Artificial Intelligence with endoscopists	Shandong University	All	"18 Years to 80 Years   (Adult, Older Adult)"	Not Applicable	200	Other	Interventional	"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Diagnostic"	2018SDU-QILU-8	"May 1, 2018"	30-Jan-19	30-Mar-19	26-Dec-18		26-Dec-18	"Endoscopic unit of Qilu Hospital Shandong University, Jinan, Shandong, China"		https://ClinicalTrials.gov/show/NCT03787784
46	NCT02932176	Machine Learning for Handheld Vascular Studies	DopplerZAM	Completed	No Results Available	Atherosclerosis|Wounds and Injuries		Cardiovascular	Device: Non-invasive vascular testing|Device: machine-learning algorithm	Algorithm generated Doppler classification|Presence or absence of pulse|Quality of pulse|Presence or absence of Doppler signal|Quality of Doppler signal	Duke University	All	"Child, Adult, Older Adult"		100	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	Pro00070090	"September 7, 2016"	14-Nov-18	14-Nov-18	13-Oct-16		10-Apr-19	"Duke University Medical Center, Durham, North Carolina, United States"		https://ClinicalTrials.gov/show/NCT02932176
47	NCT03530098	Validation of an Artificial Intelligence-based Algorithm for Skeletal Age Assessment		Completed	No Results Available	Bone Age			Device: BoneAgeModel	Paired Difference of Skeletal Age Estimate|Time Saved	Stanford University	All	"1 Year to 18 Years   (Child, Adult)"	Not Applicable	1903	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	IRB #44764	"July 12, 2018"	1-Oct-19	1-Nov-19	21-May-18		12-Feb-20	"Stanford University, Stanford, California, United States|Yale New Haven Hospital, New Haven, Connecticut, United States|Boston Children's Hospital, Boston, Massachusetts, United States|New York University, New York, New York, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States"		https://ClinicalTrials.gov/show/NCT03530098
48	NCT03706534	Breast Ultrasound Image Reviewed With Assistance of Deep Learning Algorithms		"Active, not recruiting"	No Results Available	Breast Cancer|Breast Lesions|Breast Mass			Device: Ultrasound Image review with CADe|Device: Ultrasound Image review with CADx|Device: Ultrasound Image manual review|Procedure: Biopsy	Concordance rate|Reporting time|Consensus|Accuracy|Sensitivity|Specificity|Area Under Curve	Samsung Medison|University of Rochester	All	"19 Years and older   (Adult, Older Adult)"	Not Applicable	300	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Device Feasibility	300.08-2018-Samsungmedison-S	"September 20, 2018"	30-Nov-19	31-Jan-20	16-Oct-18		29-Oct-19	"University of Rochester, Rochester, New York, United States"		https://ClinicalTrials.gov/show/NCT03706534
49	NCT04099147	Diagnosis and Characterization of Non-Alcoholic Fatty Liver Disease Based on Artificial Intelligence.	NASHAI	Not yet recruiting	No Results Available	Non-alcoholic Fatty Liver Disease (NAFLD)			Other: This is an observational study.	Number of subjects diagnosed with NAFLD and NASH in the ETHON cohort after applying Artificial Intelligence algorithms|Percentage of subjects diagnosed with NAFLD and NASH in the ETHON cohort after applying Artificial Intelligence algorithms|Sensitivity in terms of NASH diagnosis of AI algorithms with respect to histologic diagnosis compared with the Hepamet non-invasive score|Specificity in terms of NASH diagnosis of AI algorithms with respect to histologic diagnosis compared with the Hepamet non-invasive score|Positive predictive value in terms of NASH diagnosis of AI algorithms with respect to histologic diagnosis compared with the Hepamet non-invasive score.|Negative predictive Value in terms of NASH diagnosis of AI algorithms with respect to histologic diagnosis compared with the Hepamet non-invasive score.|Kappa coefficient of concordance about NASH diagnosis between AI algorithms and histologic diagnosis.|Kappa coefficient of concordance about NASH diagnosis between AI algorithms and the Hepamet non-invasive score.|ROC curve at various threshold settings obtained through the algorithms for NASH diagnosis and staging	Instituto de Investigación Marqués de Valdecilla|Servicio Cántabro de Salud	All	"19 Years to 74 Years   (Adult, Older Adult)"		14046	Other	Observational	Observational Model: Cohort|Time Perspective: Other	NASHAI	"September 30, 2019"	30-Sep-20	31-Dec-20	23-Sep-19		23-Sep-19			https://ClinicalTrials.gov/show/NCT04099147
50	NCT03899623	Multi-modal Imaging and Artificial Intelligence Diagnostic System for Multi-level Clinical Application		Recruiting	No Results Available	Diabete Mellitus|Diabetic Retinopathy				"The diagnostic sensitivity, specificity and ROC curve of the artificial intelligence（AI） system compared with reference standard (ophthalmologist)."	"Zhongshan Ophthalmic Center, Sun Yat-sen University"	All	"Child, Adult, Older Adult"		3000	Other	Observational	Observational Model: Cohort|Time Perspective: Cross-Sectional	2017KYPJ104	"April 23, 2018"	31-Dec-19	31-Dec-19	2-Apr-19		2-Apr-19	"Zhongshan Opthalmic Center, Guangzhou, Guangdong, China"		https://ClinicalTrials.gov/show/NCT03899623
51	NCT03960710	Automatic Segmentation of Polycystic Liver	ASEPOL	Recruiting	No Results Available	Polycystic Liver Disease|Polycystic Hepatorenal Disease|Liver Injury			Other: Anonymized CT examinations|Other: Training (1)|Other: Training (2)|Other: Validation (1)|Other: Validation (2)	Test of automatic segmentation by the convolutional neural network on these group and collection of data set	Hospices Civils de Lyon	All	"18 Years and older   (Adult, Older Adult)"		120	Other	Observational	Observational Model: Cohort|Time Perspective: Retrospective	ASEPOL	"April 1, 2019"	19-Jul	19-Sep	23-May-19		28-May-19	"Service de radiologie - Pavillon B - Cellule Recherche imagerie, Hôpital Edouard Herriot (HCL), Lyon, France"		https://ClinicalTrials.gov/show/NCT03960710
52	NCT04022018	Study on Adaptive Radiotherapy and Multimodal Information of Cervical Cancer Assisted by Artificial Intelligence	SOARAMIOCC	Recruiting	No Results Available	Cervical Cancer|Radiotherapy Side Effect|Biomarker|Artificial Intelligence			Radiation: Adaptive radiotherapy|Radiation: no adaptive radiotherapy	the difference in grade 3 side effects between the two groups|2-year PFS differences between the two groups|2-year OS differences between the two groups|the correlation between physical dosimetry differences and prognosis|the predictive factors for the response rate of concurrent chemoradiotherapy for cervical cancer|the prognostic factors for the 2-year overall survival rate of patients with cervical cancer after concurrent chemoradiotherapy|the time difference between labor and an artificial intelligence to design radiotherapy plans	The University of Hong Kong-Shenzhen Hospital	Female	"18 Years and older   (Adult, Older Adult)"	Not Applicable	122	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment	hkuszh2019119	"July 10, 2019"	30-May-22	30-May-22	16-Jul-19		16-Jul-19	"HongKong University Shenzhen Hospital, Shenzhen, Guangdong, China"		https://ClinicalTrials.gov/show/NCT04022018
